locus_tag	GO_ID	type
BSU11250	GO:0042450	process
BSU11250	GO:0006591	process
BSU11250	GO:0006520	process
BSU11250	GO:0006591	process
BSU11250	GO:0006526	process
BSU11250	GO:0042450	process
BSU11250	GO:0008652	process
BSU11250	GO:0006591	process
BSU11250	GO:0006520	process
BSU11250	GO:0006520	process
BSU11250	GO:0019240	process
BSU11250	GO:0042450	process
BSU11250	GO:0006591	process
BSU11250	GO:0042450	process
BSU11250	GO:0006591	process
BSU11250	GO:0006520	process
BSU11250	GO:0006591	process
BSU11250	GO:0042450	process
BSU11250	GO:0019240	process
BSU11250	GO:0006520	process
BSU11250	GO:0019240	process
BSU11250	GO:0042450	process
BSU11250	GO:0006591	process
BSU11250	GO:0008652	process
BSU11250	GO:0019240	process
BSU29450	GO:0000050	process
BSU29450	GO:0006526	process
BSU29450	GO:0000053	process
BSU29450	GO:0000050	process
BSU29450	GO:0008652	process
BSU29450	GO:0008652	process
BSU29450	GO:0000050	process
BSU29450	GO:0000053	process
BSU29450	GO:0000050	process
BSU29450	GO:0000053	process
BSU29450	GO:0008652	process
BSU29450	GO:0008652	process
BSU29450	GO:0000050	process
BSU29450	GO:0006526	process
BSU29450	GO:0008652	process
BSU29450	GO:0006526	process
BSU29450	GO:0006526	process
BSU29450	GO:0000053	process
BSU29450	GO:0006526	process
BSU29450	GO:0006526	process
BSU29450	GO:0006526	process
BSU29450	GO:0000053	process
BSU29450	GO:0008652	process
BSU29440	GO:0008652	process
BSU29440	GO:0042450	process
BSU29440	GO:0006526	process
BSU29440	GO:0008652	process
BSU29440	GO:0042450	process
BSU29440	GO:0042450	process
BSU29440	GO:0006526	process
BSU29440	GO:0008652	process
BSU29440	GO:0006526	process
BSU29440	GO:0008652	process
BSU29440	GO:0008652	process
BSU29440	GO:0042450	process
BSU29440	GO:0008652	process
BSU29440	GO:0042450	process
BSU29440	GO:0006526	process
BSU29440	GO:0006526	process
BSU29440	GO:0006526	process
BSU29440	GO:0006526	process
BSU29440	GO:0006526	process
BSU29440	GO:0042450	process
BSU29440	GO:0042450	process
BSU29440	GO:0042450	process
